trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.999000499833375}",20,0,-39.571959589211176,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.99, 'e': 0.9980019986673331}",25,0,4.200371580126941,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
3,False,"{'a': 0.99, 'e': 0.997004495503373}",20,0,4.1176791184047925,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.99, 'e': 0.9960079893439915}",30,0,-119.62739422214156,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.99, 'e': 0.9950124791926823}",20,0,-49.11659350881141,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.99, 'e': 0.9940179640539353}",20,0,-39.61704267300686,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.99, 'e': 0.9930244429332351}",30,0,-89.75850849686509,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.99, 'e': 0.9920319148370607}",20,7,-12.970076280622608,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.99, 'e': 0.9910403787728836}",20,0,-62.271804406008336,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.99, 'e': 0.9900498337491681}",20,0,-7.825872016766947,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.99, 'e': 0.9890602787753687}",20,8,-79.81270927822949,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
12,False,"{'a': 0.99, 'e': 0.9880717128619305}",20,0,-29.352299097628244,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.99, 'e': 0.9870841350202876}",25,0,-99.80055109159947,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.99, 'e': 0.9860975442628619}",25,15,5.875976794394981,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.99, 'e': 0.9851119396030626}",30,0,-42.83216069148396,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.99, 'e': 0.9841273200552851}",30,19,3.018925789149767,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.99, 'e': 0.9831436846349096}",30,13,-60.633828681651934,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 2}",1
18,False,"{'a': 0.99, 'e': 0.9821610323583008}",25,0,21.35963062208905,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.99, 'e': 0.981179362242806}",25,0,-31.76963758157535,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.99, 'e': 0.9801986733067553}",20,12,-26.868807145191646,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
21,False,"{'a': 0.99, 'e': 0.9792189645694596}",25,0,-56.19135046237518,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
22,False,"{'a': 0.99, 'e': 0.97824023505121}",30,0,-43.152958594030565,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",1
23,False,"{'a': 0.99, 'e': 0.9772624837732771}",20,0,13.953629705534835,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.99, 'e': 0.9762857097579093}",20,0,-19.699769342780225,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
25,False,"{'a': 0.99, 'e': 0.9753099120283326}",20,9,20.748563736009846,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.99, 'e': 0.9743350896087494}",20,0,-14.167173020574555,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
27,False,"{'a': 0.99, 'e': 0.9733612415243368}",20,14,9.124389534965935,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.99, 'e': 0.9723883668012469}",20,9,-23.757863605374357,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
29,False,"{'a': 0.99, 'e': 0.9714164644666048}",30,14,25.459215453275082,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.99, 'e': 0.9704455335485082}",25,16,17.638177470169936,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.99, 'e': 0.9694755730760259}",25,14,-20.291501426004963,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.99, 'e': 0.9685065820791976}",25,0,11.386179123516118,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
33,False,"{'a': 0.99, 'e': 0.967538559589032}",30,16,29.319206734248215,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.99, 'e': 0.9665715046375066}",20,0,-67.29924052332977,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.99, 'e': 0.9656054162575665}",20,12,-41.05426085320133,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
36,False,"{'a': 0.99, 'e': 0.9646402934831231}",25,0,29.41829239651802,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.99, 'e': 0.9636761353490535}",20,0,4.458180417338767,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
38,False,"{'a': 0.99, 'e': 0.9627129408911995}",25,0,-12.07248757505366,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.99, 'e': 0.9617507091463667}",25,0,-48.74196298158404,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
40,False,"{'a': 0.99, 'e': 0.9607894391523232}",25,1,-19.4690639713296,"{0: 20, 1: 2, 2: 0, 3: 2, 4: 0}",1
41,False,"{'a': 0.99, 'e': 0.9598291299477989}",20,0,-4.985524481099755,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
42,False,"{'a': 0.99, 'e': 0.9588697805724845}",20,0,-22.099400077434915,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
43,False,"{'a': 0.99, 'e': 0.9579113900670306}",20,8,22.939471912346807,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.99, 'e': 0.9569539574730467}",20,7,-23.535219310651183,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.99, 'e': 0.9559974818331}",20,0,15.381041325766326,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.99, 'e': 0.9550419621907147}",25,14,3.919209420315261,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
